MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A11.872.580	Mesenchymal Stem Cells	Cells	Stem Cells	0.93	> 0.20	SARS (2.1)	ZHX3 (2.1)	DOCK7 (1.4)	TMEM50A (1.4)	KANK2 (1.4)	C12orf43 (1.3)	C19orf52 (1.2)	PVR (1.1)	ZNF259 (1.1)	DYNC2LI1 (1.0)
A10.336	Exocrine Glands	Tissues	Exocrine Glands	0.93	> 0.20	ENSG00000226648 (3.8)	KIAA1324 (2.7)	BCAM (2.3)	TMEM57 (2.2)	ENSG00000226645 (2.0)	TMED4 (1.9)	MOSC1 (1.9)	FRK (1.7)	NT5DC1 (1.5)	GMPR (1.3)
A10.336.707	Prostate	Tissues	Exocrine Glands	0.93	> 0.20	ENSG00000226648 (4.2)	KIAA1324 (2.7)	BCAM (2.4)	TMEM57 (2.3)	ENSG00000226645 (2.1)	TMED4 (2.0)	MOSC1 (1.9)	FRK (1.8)	NT5DC1 (1.6)	GMPR (1.5)
A02.835.232.834.151	Cervical Vertebrae	Musculoskeletal System	Skeleton	0.94	> 0.20	ZNF180 (1.3)	C12orf43 (1.3)	SARS (1.3)	C19orf52 (1.3)	DHODH (1.2)	FEN1 (1.1)	DOCK7 (1.1)	SMARCA4 (1.0)	PSRC1 (1.0)	MAPKAPK5 (1.0)
A02.835.232.834	Spine	Musculoskeletal System	Skeleton	0.94	> 0.20	ZNF180 (1.3)	C12orf43 (1.3)	SARS (1.3)	C19orf52 (1.3)	DHODH (1.2)	FEN1 (1.1)	DOCK7 (1.1)	SMARCA4 (1.0)	PSRC1 (1.0)	MAPKAPK5 (1.0)
A08.186.211.653	Mesencephalon	Nervous System	Central Nervous System	0.96	> 0.20	NCAN (2.9)	HAPLN4 (2.9)	PSRC1 (2.6)	ENSG00000226645 (2.3)	C11orf9 (2.2)	ATXN2 (2.2)	APOE (2.0)	GCNT4 (2.0)	FADS2 (2.0)	CELSR2 (2.0)
A14.724	Pharynx	Stomatognathic System	Pharynx	0.96	> 0.20	ENSG00000235545 (2.5)	ENSG00000228044 (2.2)	DNAH11 (2.2)	PMFBP1 (2.1)	GCNT4 (1.9)	TRAFD1 (1.6)	NAA25 (1.6)	POC5 (1.5)	NT5DC1 (1.5)	APOA5 (1.3)
A11.329.629	Osteoblasts	Cells	Connective Tissue Cells	0.97	> 0.20	TMEM50A (3.3)	SARS (2.7)	TM6SF2 (2.4)	BRAP (1.9)	KANK2 (1.7)	TRAFD1 (1.6)	HLX (1.6)	ABO (1.5)	SLC44A2 (1.4)	ZHX3 (1.3)
A05.360.444	Genitalia  Male	Urogenital System	Genitalia	0.98	> 0.20	ENSG00000226648 (3.2)	TMEM57 (2.0)	KIAA1324 (1.9)	ENSG00000226645 (1.8)	BCAM (1.7)	TMED4 (1.4)	FRK (1.4)	NT5DC1 (1.3)	ENSG00000238078 (1.2)	MOSC1 (1.1)
A14.724.557	Nasopharynx	Stomatognathic System	Pharynx	0.99	> 0.20	ENSG00000235545 (3.9)	PMFBP1 (3.8)	DNAH11 (3.8)	ENSG00000228044 (3.5)	CEACAM19 (2.4)	APOA5 (2.1)	NAA25 (2.0)	NT5DC1 (1.9)	CYB561D1 (1.8)	POC5 (1.7)
A11.329.228	Fibroblasts	Cells	Connective Tissue Cells	1.00	> 0.20	DOCK7 (2.0)	SARS (1.6)	ZHX3 (1.4)	KANK2 (1.2)	PTPN11 (1.2)	TMEM50A (1.1)	PLEC (1.0)	ATXN2 (1.0)	C12orf43 (0.9)	PVR (0.9)
A10.165.450	Granulation Tissue	Tissues	Connective Tissue	1.00	> 0.20	ENSG00000235545 (3.6)	SARS (2.4)	CEACAM19 (1.8)	ANKRD31 (1.8)	ZHX3 (1.7)	DNAH11 (1.6)	DOCK7 (1.5)	KANK2 (1.5)	TM6SF2 (1.4)	TMEM50A (1.4)
A10.165.450.300	Cicatrix	Tissues	Connective Tissue	1.00	> 0.20	ENSG00000235545 (3.6)	SARS (2.4)	CEACAM19 (1.8)	ANKRD31 (1.8)	ZHX3 (1.7)	DNAH11 (1.6)	DOCK7 (1.5)	KANK2 (1.5)	TM6SF2 (1.4)	TMEM50A (1.4)
A10.165.450.300.425	Keloid	Tissues	Connective Tissue	1.00	> 0.20	ENSG00000235545 (3.6)	SARS (2.5)	CEACAM19 (2.3)	DOCK7 (1.8)	ANKRD31 (1.8)	ZHX3 (1.7)	DNAH11 (1.6)	PVR (1.5)	KANK2 (1.4)	TMEM50A (1.4)
A09.371.729	Retina	Sense Organs	Eye	1.00	> 0.20	USP1 (2.7)	SMARCA4 (2.7)	ZNF180 (2.7)	TMEM57 (2.3)	NYNRIN (2.1)	ILF3 (2.0)	FEN1 (1.9)	ATXN7L2 (1.8)	NCAN (1.7)	DYNC2LI1 (1.5)
A06.407.312.782	Testis	Endocrine System	Endocrine Glands	1.00	> 0.20	DYNC2LI1 (1.9)	ENSG00000226645 (1.9)	HMGCR (1.9)	PLEKHH2 (1.8)	ENSG00000238078 (1.7)	NYNRIN (1.7)	FRK (1.6)	GATAD2A (1.6)	CYP7A1 (1.6)	BLOC1S3 (1.4)
A08.186.211.132.810.428.200	Cerebellum	Nervous System	Central Nervous System	1.00	> 0.20	C12orf51 (3.7)	DDX56 (3.3)	RPH3A (3.2)	ADAM1 (3.2)	TMEM57 (2.7)	AMIGO1 (2.5)	HAPLN4 (2.3)	ATXN2 (1.9)	PCSK9 (1.7)	USP24 (1.7)
A08.186.211.730.885.287.500.270	Frontal Lobe	Nervous System	Central Nervous System	1.00	> 0.20	RPH3A (3.6)	HAPLN4 (3.5)	MARK4 (2.9)	NCAN (2.7)	AMIGO1 (2.6)	APOC4 (2.5)	PSRC1 (2.4)	CELSR2 (2.1)	CARM1 (1.9)	CEACAM19 (1.7)
A08.186.211.865	Rhombencephalon	Nervous System	Central Nervous System	1.00	> 0.20	C12orf51 (3.5)	RPH3A (3.1)	DDX56 (3.0)	ADAM1 (2.7)	AMIGO1 (2.4)	HAPLN4 (2.4)	TMEM57 (2.1)	ATXN2 (2.0)	QTRT1 (1.6)	PCSK9 (1.5)
A08.186.211.865.428	Metencephalon	Nervous System	Central Nervous System	1.00	> 0.20	C12orf51 (3.5)	RPH3A (3.1)	DDX56 (3.0)	ADAM1 (2.7)	AMIGO1 (2.4)	HAPLN4 (2.4)	TMEM57 (2.1)	ATXN2 (2.0)	QTRT1 (1.6)	PCSK9 (1.5)
A08.186.211.132	Brain Stem	Nervous System	Central Nervous System	1.00	> 0.20	C12orf51 (2.7)	RPH3A (2.6)	HAPLN4 (2.6)	DDX56 (2.2)	AMIGO1 (2.1)	ATXN2 (2.0)	NCAN (1.9)	ENSG00000226645 (1.7)	QTRT1 (1.7)	PLCG1 (1.6)
A08.186.211.730.885.287.500.670	Parietal Lobe	Nervous System	Central Nervous System	1.00	> 0.20	RPH3A (3.4)	NCAN (3.0)	HAPLN4 (2.9)	MARK4 (2.5)	AMIGO1 (2.4)	ENSG00000226648 (2.3)	CELSR2 (2.2)	GRINA (2.0)	FADS2 (2.0)	PSRC1 (1.9)
A08.186	Central Nervous System	Nervous System	Central Nervous System	1.00	> 0.20	NCAN (2.5)	HAPLN4 (2.1)	RPH3A (2.0)	ENSG00000235545 (2.0)	PSRC1 (1.8)	CELSR2 (1.8)	AMIGO1 (1.6)	APOE (1.5)	C12orf51 (1.5)	PLCG1 (1.5)
A08.186.211	Brain	Nervous System	Central Nervous System	1.00	> 0.20	NCAN (2.6)	HAPLN4 (2.1)	RPH3A (2.0)	ENSG00000235545 (2.0)	PSRC1 (1.9)	CELSR2 (1.8)	AMIGO1 (1.6)	APOE (1.5)	C12orf51 (1.5)	PLCG1 (1.5)
A08.186.211.730.885.287.500.571.735	Visual Cortex	Nervous System	Central Nervous System	1.00	> 0.20	HAPLN4 (5.0)	ADAM1 (3.2)	RPH3A (3.2)	NCAN (2.9)	C12orf51 (2.8)	SUGP1 (2.7)	CELSR2 (2.3)	AMIGO1 (2.2)	PSRC1 (2.2)	GPAM (1.5)
A08.186.211.730	Prosencephalon	Nervous System	Central Nervous System	1.00	> 0.20	NCAN (2.8)	RPH3A (2.6)	HAPLN4 (2.5)	CELSR2 (2.3)	AMIGO1 (2.3)	C11orf9 (2.3)	MARK4 (2.2)	ENSG00000226645 (2.2)	PSRC1 (2.1)	C12orf51 (1.9)
A08.186.211.730.885.287.500.571	Occipital Lobe	Nervous System	Central Nervous System	1.00	> 0.20	HAPLN4 (4.9)	RPH3A (3.3)	NCAN (3.0)	ADAM1 (2.8)	C12orf51 (2.7)	SUGP1 (2.5)	CELSR2 (2.3)	AMIGO1 (2.2)	PSRC1 (2.2)	ATXN2 (1.4)
A08.186.211.464.405	Hippocampus	Nervous System	Central Nervous System	1.00	> 0.20	C11orf9 (3.5)	NCAN (3.1)	CELSR2 (2.8)	SORT1 (2.7)	ENSG00000226645 (2.6)	PSRC1 (2.6)	HAPLN4 (2.5)	AMIGO1 (2.4)	RPH3A (2.3)	MARK4 (2.2)
A08.186.211.730.885.287.500.863	Temporal Lobe	Nervous System	Central Nervous System	1.00	> 0.20	RPH3A (3.2)	NCAN (3.1)	MARK4 (2.7)	AMIGO1 (2.6)	CELSR2 (2.4)	ENSG00000226645 (2.4)	C12orf51 (2.3)	C11orf9 (2.1)	HAPLN4 (2.1)	PSRC1 (2.1)
A08.186.211.464.710.225	Entorhinal Cortex	Nervous System	Central Nervous System	1.00	> 0.20	RPH3A (3.1)	NCAN (3.1)	MARK4 (2.8)	AMIGO1 (2.7)	CELSR2 (2.5)	ENSG00000226645 (2.3)	C12orf51 (2.3)	C11orf9 (2.1)	HAPLN4 (2.1)	PSRC1 (2.0)
A08.186.211.464.710	Parahippocampal Gyrus	Nervous System	Central Nervous System	1.00	> 0.20	RPH3A (3.1)	NCAN (3.1)	MARK4 (2.8)	AMIGO1 (2.7)	CELSR2 (2.5)	ENSG00000226645 (2.3)	C12orf51 (2.3)	C11orf9 (2.1)	HAPLN4 (2.1)	PSRC1 (2.0)
A08.186.211.464	Limbic System	Nervous System	Central Nervous System	1.00	> 0.20	NCAN (3.1)	RPH3A (2.7)	CELSR2 (2.6)	C11orf9 (2.6)	AMIGO1 (2.5)	MARK4 (2.5)	ENSG00000226645 (2.4)	HAPLN4 (2.4)	PSRC1 (2.3)	C12orf51 (2.2)
A08.186.211.730.885	Telencephalon	Nervous System	Central Nervous System	1.00	> 0.20	NCAN (3.0)	RPH3A (2.8)	HAPLN4 (2.6)	CELSR2 (2.4)	C11orf9 (2.4)	AMIGO1 (2.4)	PSRC1 (2.2)	ENSG00000226645 (2.2)	MARK4 (2.2)	C12orf51 (2.0)
A08.186.211.730.885.287	Cerebrum	Nervous System	Central Nervous System	1.00	> 0.20	NCAN (3.0)	RPH3A (2.8)	HAPLN4 (2.7)	CELSR2 (2.5)	AMIGO1 (2.4)	C11orf9 (2.4)	MARK4 (2.2)	ENSG00000226645 (2.2)	PSRC1 (2.2)	C12orf51 (2.1)
A08.186.211.730.885.287.500	Cerebral Cortex	Nervous System	Central Nervous System	1.00	> 0.20	NCAN (3.0)	RPH3A (2.9)	HAPLN4 (2.8)	CELSR2 (2.5)	AMIGO1 (2.5)	MARK4 (2.3)	PSRC1 (2.3)	C11orf9 (2.3)	C12orf51 (2.2)	ENSG00000226645 (2.1)
